한국어,클러스터_ID,클러스터_크기
싸우는 정도가 심각한가요?,G0_0_C0,6
얼마나 다쳤나요?,G0_0_C0,6
자주 싸우셨나요?,G0_0_C0,6
추가로 계속 피를 흘리고 있나요?,G0_0_C0,6
크게 다쳤나요?,G0_0_C0,6
혹시 다친 사람들이 많이 있나요?,G0_0_C0,6
강도가 들어온것 같아요,G0_1_C0,9
남성분이 어떻게 난동을 부리고 있으신가요?,G0_1_C0,9
술 취한 사람이 방망이로 사람들을 때리고 있어요,G0_1_C0,9
어떤 사람이 집단폭력을 당하고 있어요,G0_1_C0,9
지금 그쪽에 몇명이 구타를 하고 있는지 보이세요?,G0_1_C0,9
지금도 폭행을 당하시고 계시는거죠?,G0_1_C0,9
집단폭행,G0_1_C0,9
폭행,G0_1_C0,9
폭행을 한 사람들은 몇 명이였나요?,G0_1_C0,9
구로구,G1_0_0_0_0_C2,8
동작구,G1_0_0_0_0_C2,8
보건소,G1_0_0_0_0_C2,8
연기,G1_0_0_0_0_C2,8
영등포구,G1_0_0_0_0_C2,8
용산구,G1_0_0_0_0_C2,8
출산,G1_0_0_0_0_C2,8
침수,G1_0_0_0_0_C2,8
1000,G1_0_0_0_1_C2,5
누수,G1_0_0_0_1_C2,5
성폭행,G1_0_0_0_1_C2,5
소방차,G1_0_0_0_1_C2,5
아파트,G1_0_0_0_1_C2,5
공원,G1_0_0_1_C2,2
구급차,G1_0_0_1_C2,2
강동구,G1_0_1_C2,5
금요일,G1_0_1_C2,5
일요일,G1_0_1_C2,5
임산부,G1_0_1_C2,5
트럭,G1_0_1_C2,5
광진구,G1_0_2_C2,9
독사,G1_0_2_C2,9
마포구,G1_0_2_C2,9
방망이,G1_0_2_C2,9
손목,G1_0_2_C2,9
약국,G1_0_2_C2,9
옥상,G1_0_2_C2,9
욕실,G1_0_2_C2,9
토요일,G1_0_2_C2,9
노원구,G1_3_C2,11
농약,G1_3_C2,11
범람,G1_3_C2,11
복통,G1_3_C2,11
빌라,G1_3_C2,11
소방관,G1_3_C2,11
수요일,G1_3_C2,11
아저씨,G1_3_C2,11
옆집,G1_3_C2,11
장난감,G1_3_C2,11
출혈,G1_3_C2,11
그 전에 병원을 다녔던 경력이 있나요?,G2_0_0_C8,5
언제부터 아프셨어요?,G2_0_0_C8,5
전화 받는 분의 나이가 어떻게 되나요?,G2_0_0_C8,5
환자 나이가 어떻게 되나요?,G2_0_0_C8,5
환자분 나이대가 어떻게 보이나요?,G2_0_0_C8,5
눈이 떠져있나요?,G2_0_1_C8,11
당신과 아이컨택을 하고 있나요?,G2_0_1_C8,11
산모의 상태는 어떤가요?,G2_0_1_C8,11
아직 살아있나요?,G2_0_1_C8,11
지금 환자분 의식이 있는 상태인가요?,G2_0_1_C8,11
환자 상태가 어떤가요?,G2_0_1_C8,11
환자 옆에 계속 있어주겠어요?,G2_0_1_C8,11
환자가 대화가 가능한가요?,G2_0_1_C8,11
환자가 숨을 쉬고 있나요?,G2_0_1_C8,11
환자가 쓰러지신지 얼마나 되셨죠?,G2_0_1_C8,11
환자는 지금 깨어있나요?,G2_0_1_C8,11
가슴에 통증이 있나요?,G2_1_C8,3
가슴에 통증이 있는지 물어봐줄래요?,G2_1_C8,3
가슴을 계속 누르고 있으세요,G2_1_C8,3
아랫집에 불이 났어요,G3_C11,12
옆집에 불이 났어요,G3_C11,12
우리 집에 불이 났어요,G3_C11,12
윗집에 불이 났어요,G3_C11,12
집 벽이 무너질려고 해요,G3_C11,12
집에 도둑(강도)이 들어왔어요,G3_C11,12
집에 모르는 사람이 침입했어요,G3_C11,12
집에 불이 났어요,G3_C11,12
집에 전기가 나갔어요,G3_C11,12
집에 혼자있나요?,G3_C11,12
집이 흔들려요,G3_C11,12
홍수가 나서 집이 물에 잠기고 있어요,G3_C11,12
근처에서 폭탄이 터졌어요,G4_0_C12,3
폭발,G4_0_C12,3
폭탄이 터졌어요,G4_0_C12,3
몇층에서 불이 나고 있나요?,G4_1_0_0_0_C12,11
불,G4_1_0_0_0_C12,11
불나다,G4_1_0_0_0_C12,11
불이 얼만큼 번졌나요?,G4_1_0_0_0_C12,11
불이 크게 났나요?,G4_1_0_0_0_C12,11
어디선가 연기가 나요 불이 나고 있는 것 같아요,G4_1_0_0_0_C12,11
지금 불이 어떻게 퍼지고 있나요?,G4_1_0_0_0_C12,11
지하철 역 안에서 화재가 발생했어요,G4_1_0_0_0_C12,11
최초에 어떻게 불길이 번졌는지 알고 계시나요?,G4_1_0_0_0_C12,11
화재,G4_1_0_0_0_C12,11
화재가 난 건물이 어디죠?,G4_1_0_0_0_C12,11
