파일명,한국어,클러스터_ID,클러스터_크기
KETI_SL_RES_0000000059.MOV,싸우는 정도가 심각한가요?,G0_0_C0,6
KETI_SL_RES_0000000086.MOV,얼마나 다쳤나요?,G0_0_C0,6
KETI_SL_RES_0000000027.MOV,자주 싸우셨나요?,G0_0_C0,6
KETI_SL_RES_0000000091.MOV,추가로 계속 피를 흘리고 있나요?,G0_0_C0,6
KETI_SL_RES_0000000085.MOV,크게 다쳤나요?,G0_0_C0,6
KETI_SL_RES_0000000029.MOV,혹시 다친 사람들이 많이 있나요?,G0_0_C0,6
KETI_SL_0000008446.MOV,강도가 들어온것 같아요,G0_1_C0,9
KETI_SL_RES_0000000031.MOV,남성분이 어떻게 난동을 부리고 있으신가요?,G0_1_C0,9
KETI_SL_0000008388.MOV,술 취한 사람이 방망이로 사람들을 때리고 있어요,G0_1_C0,9
KETI_SL_0000008400.MOV,어떤 사람이 집단폭력을 당하고 있어요,G0_1_C0,9
KETI_SL_RES_0000000036.MOV,지금 그쪽에 몇명이 구타를 하고 있는지 보이세요?,G0_1_C0,9
KETI_SL_RES_0000000046.MOV,지금도 폭행을 당하시고 계시는거죠?,G0_1_C0,9
KETI_SL_0000000368.MOV,집단폭행,G0_1_C0,9
KETI_SL_0000000397.MOV,폭행,G0_1_C0,9
KETI_SL_RES_0000000063.MOV,폭행을 한 사람들은 몇 명이였나요?,G0_1_C0,9
KETI_SL_0000000147.MOV,구로구,G1_0_0_0_0_C2,8
KETI_SL_0000000191.MOV,동작구,G1_0_0_0_0_C2,8
KETI_SL_0000000233.MOV,보건소,G1_0_0_0_0_C2,8
KETI_SL_0000000301.MOV,연기,G1_0_0_0_0_C2,8
KETI_SL_0000000307.MOV,영등포구,G1_0_0_0_0_C2,8
KETI_SL_0000000324.MOV,용산구,G1_0_0_0_0_C2,8
KETI_SL_0000000377.MOV,출산,G1_0_0_0_0_C2,8
KETI_SL_0000000381.MOV,침수,G1_0_0_0_0_C2,8
KETI_SL_0000000104.MOV,1000,G1_0_0_0_1_C2,5
KETI_SL_0000000174.MOV,누수,G1_0_0_0_1_C2,5
KETI_SL_0000000259.MOV,성폭행,G1_0_0_0_1_C2,5
KETI_SL_0000000261.MOV,소방차,G1_0_0_0_1_C2,5
KETI_SL_0000000283.MOV,아파트,G1_0_0_0_1_C2,5
KETI_SL_0000000138.MOV,공원,G1_0_0_1_C2,2
KETI_SL_0000000146.MOV,구급차,G1_0_0_1_C2,2
KETI_SL_0000000116.MOV,강동구,G1_0_1_C2,5
KETI_SL_0000000152.MOV,금요일,G1_0_1_C2,5
KETI_SL_0000000346.MOV,일요일,G1_0_1_C2,5
KETI_SL_0000000347.MOV,임산부,G1_0_1_C2,5
KETI_SL_0000000389.MOV,트럭,G1_0_1_C2,5
KETI_SL_0000000142.MOV,광진구,G1_0_2_C2,9
KETI_SL_0000000188.MOV,독사,G1_0_2_C2,9
KETI_SL_0000000202.MOV,마포구,G1_0_2_C2,9
KETI_SL_0000000223.MOV,방망이,G1_0_2_C2,9
KETI_SL_0000000266.MOV,손목,G1_0_2_C2,9
KETI_SL_0000000289.MOV,약국,G1_0_2_C2,9
KETI_SL_0000000318.MOV,옥상,G1_0_2_C2,9
KETI_SL_0000000323.MOV,욕실,G1_0_2_C2,9
KETI_SL_0000000385.MOV,토요일,G1_0_2_C2,9
KETI_SL_0000000170.MOV,노원구,G1_3_C2,11
KETI_SL_0000000172.MOV,농약,G1_3_C2,11
KETI_SL_0000000230.MOV,범람,G1_3_C2,11
KETI_SL_0000000236.MOV,복통,G1_3_C2,11
KETI_SL_0000000244.MOV,빌라,G1_3_C2,11
KETI_SL_0000000260.MOV,소방관,G1_3_C2,11
KETI_SL_0000000269.MOV,수요일,G1_3_C2,11
KETI_SL_0000000281.MOV,아저씨,G1_3_C2,11
KETI_SL_0000000308.MOV,옆집,G1_3_C2,11
KETI_SL_0000000354.MOV,장난감,G1_3_C2,11
KETI_SL_0000000378.MOV,출혈,G1_3_C2,11
KETI_SL_RES_0000000084.MOV,그 전에 병원을 다녔던 경력이 있나요?,G2_0_0_C8,5
KETI_SL_RES_0000000083.MOV,언제부터 아프셨어요?,G2_0_0_C8,5
KETI_SL_RES_0000000015.MOV,전화 받는 분의 나이가 어떻게 되나요?,G2_0_0_C8,5
